Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,2.27733,41719,17455,105,24190,17560,193030,140392,505328,542992,575976,630553
2,4.83238,42101,14937,99,23330,17011,172712,139395,336502,549288,564489,570514
3,6.22094,72514,21382,935,19137,34335,150500,192216,446450,751843,782129,837599
4,6.55414,110776,21083,7348,19180,25806,149456,275703,623833,874087,917780,1051456
5,6.55433,156537,26298,19716,18965,24492,150874,354684,810038,1118371,1155357,1258094
6,7.54425,174500,26463,17731,19189,24730,148763,374500,866487,1079654,1150638,1244400
7,7.8313,209996,32012,19116,18920,23079,148077,433649,989127,1286719,1345415,1510153
8,8.16471,236504,35953,26639,18764,24619,152514,488794,1046440,1264637,1371359,1445059
