Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,2.27735,43144,16078,1165,20452,16638,197272,143476,508660,562301,583956,597348
2,4.8879,42177,15442,1150,19546,16722,174972,136887,344851,537537,546753,554761
3,5.9987,67891,16960,1401,16931,34663,156312,197678,487924,713814,754913,813604
5,6.55181,157038,27210,14359,18992,22123,161851,357312,823396,1058139,1106699,1158667
4,6.55409,115100,21330,7305,17025,25374,149144,273935,602427,904590,970411,1074831
8,7.27611,259581,38056,13944,20998,28334,179789,552217,1257934,1514156,1562263,1580692
6,7.55362,169102,28212,18686,18924,28092,161838,370580,813883,1084250,1139136,1319154
7,7.83145,195004,35212,20999,19787,24217,171961,431245,971421,1301477,1416852,1612257
